placeId,place_name,introduction,category_name,categoryId,latitude,longitude,postcode,thumbnail_url,tags,province_Id,province_name,district_Id,district_name,sub_district_Id,sub_district_name,updated_at
P03012583,ถ้ำมโหฬาร,อยู่ที่บ้านหนองหิน ตำบลหนองหิน อยู่ในบริเวณวัดถ้ำมโหฬาร,สถานที่ท่องเที่ยว,3,17.10731,101.87997,42190.0,h,,576,เลย,4214.0,หนองหิน,5102.0,หนองหิน,2024-07-16T20:03:56.009Z
P03014048,เสมาหินทราย บ้านปากแบ่งและบ้านนาหลัก,ที่บ้านนาหลัก เป็นเสมาหินปักคู่สองหลัก แบบที่มีคู่สลักนูนขึ้นไปจากยอดเสมา เป็นรูปคล้าย ๆ กับสถูปเท่านั้นโดยไม่มีลวดลายใด ๆ ,สถานที่ท่องเที่ยว,3,17.48602,101.7223,42000.0,h,,576,เลย,4201.0,เมืองเลย,4994.0,กุดป่อง,2024-07-16T20:03:55.442Z
P03025545,ศูนย์บริการนักท่องเที่ยววังกวาง,เป็นลานกางเต็นท์และบ้านพักของอุทยานฯ ซึ่งตั้งอยู่บนยอดภูกระดึง นอกจากนี้บริเวณศูนย์บริการฯ ยังมีห้องน้ำ ห้องอาบน้ำ และร้านอาหารให้บริการ,สถานที่ท่องเที่ยว,3,16.88681,101.788,42180.0,h,,576,เลย,4210.0,ภูกระดึง,5076.0,ศรีฐาน,2024-07-16T20:03:51.616Z
P03012596,อุทยานแห่งชาติภูสวนทราย,เป็นป่าดิบเขาเป็นพรมแดนธรรมชาติระหว่างแผ่นดินไทย-ลาว สัตว์ป่าที่พบ ได้แก่ เลียงผา หมาใน นกเหยี่ยว เต่าปูลู,สถานที่ท่องเที่ยว,3,17.50356,100.93892,42170.0,h,อุทยานแห่งชาติภูสวนทราย,576,เลย,4206.0,นาแห้ว,5044.0,แสงภา,2024-07-16T20:03:51.358Z
P03001063,วัดท่าแขก วัดโบราณ,เป็นวัดเก่าแก่อยู่ริมฝั่งแม่น้ำโขง ห่างจากอำเภอเชียงคาน 2 กิโลเมตร ก่อนถึงหมู่บ้านน้อยและแก่งคุดคู้ ปัจจุบันเป็นวัดธรรมยุติ ภายในโบสถ์มีพระพุทธรูป 3 องค์สกัดจากหินทรายทั้งก้อน เป็นพระพุทธรูปเก่าแก่และศักดิ์สิทธิ์ มีอายุประมาณ 300 กว่าปี,สถานที่ท่องเที่ยว,3,17.90506,101.68336,42110.0,h,,576,เลย,4203.0,เชียงคาน,5012.0,เชียงคาน,2024-07-16T20:03:50.031Z
P03012587,ศาลหลักเมืองเจ้าพ่อกุดป่อง,เป็นศาลเก่าแก่เชื่อกันว่าเป็นที่สถิตดวงวิญญาณเจ้าพ่อทองคำ องค์เสาหลักเมืองทำด้วยไม้ราชพฤกษ์ ยอดเสาแกะสลักลงรักปิดทองทั้งองค์,สถานที่ท่องเที่ยว,3,17.48667,101.72893,42000.0,h,,576,เลย,4201.0,เมืองเลย,4994.0,กุดป่อง,2024-07-16T20:03:47.367Z
P03003293,ผานกแอ่น,ผานกแอ่นเป็นลานหินเล็ก ๆ มีสนขึ้นโดดเด่น เป็นจุดชมพระอาทิตย์ขึ้นที่งดงามยิ่ง,สถานที่ท่องเที่ยว,3,16.89296,101.80004,42180.0,h,,576,เลย,4210.0,ภูกระดึง,5076.0,ศรีฐาน,2024-07-16T20:03:47.047Z
P03000603,ศูนย์วัฒนธรรมจังหวัดเลย,ตั้งอยู่ในสถาบันราชภัฏเลย เป็นอาคาร 2 ชั้น รวบรวมและเผยแพร่เรื่องราวทางด้านศาสนา ประเพณี และวิถีชีวิตของชาวเลยในหลาย ๆ ด้าน ภายในตัวอาคารศูนย์วัฒนธรรมมีการจัดแสดงแบ่งเป็น 3 ส่วน,สถานที่ท่องเที่ยว,3,17.53714,101.7238,42000.0,h,,576,เลย,4201.0,เมืองเลย,4995.0,เมือง,2024-07-16T20:03:44.119Z
P03018387,ชมรมส่งเสริมการท่องเที่ยว โดยชุมชนกกสะทอน,ตั้งอยู่บ้านกกสะทอน ตำบลกกสะทอน โดยปกติแล้วชาวบ้านในชุมชนส่วนใหญ่มีอาชีพหลักเป็นเกษตรกร เนื่องจากบ้านกกสะทอนตั้งอยู่ใกล้กับภูลมโล สถานที่ชมพญาเสือโคร่งที่สวยที่สุดอีกแห่งหนึ่งของเมืองไทย ชาวบ้านในชุมชนเลยจัดตั้งชมรมฯ เพื่อบริการบ้านพักโฮมสเตย์ และนำเที่ยวภูลมโลเป็นอาชีพเสริมในยามว่างเว้นจากการเก็บเกี่ยว,สถานที่ท่องเที่ยว,3,17.09048,101.11117,42120.0,h,ชุมชนกกสะทอน,576,เลย,4205.0,ด่านซ้าย,5032.0,กกสะทอน,2024-07-16T20:03:39.930Z
P03012592,หมู่บ้านวัฒนธรรมไทดำ,ตั้งอยู่ที่บ้านนาป่าหนาด ตำบลเขาแก้ว เดิมชาวไทดำอพยพมาจากเมืองเชียงขวาง สาธารณรัฐประชาธิปไตยประชาชนลาว,สถานที่ท่องเที่ยว,3,17.79831,101.73604,42110.0,h,,576,เลย,4203.0,เชียงคาน,5015.0,เขาแก้ว,2024-07-16T20:03:39.321Z
P03013096,พิพิธภัณฑ์เมืองเลย,,สถานที่ท่องเที่ยว,3,17.48468,101.73029,42000.0,h,,576,เลย,4201.0,เมืองเลย,4994.0,กุดป่อง,2024-07-16T20:03:39.071Z
